,Freq,Reporter,Partner,ProductCode,Indicator,Year,Value,DataSource
2411,Annual,Dominican Republic,North America,Minerals,Import Trade Value (US$ Thousand),2017,13121.10257,WITS - UNSD Comtrade
698,Annual,Uganda,Europe and Central Asia,Agricultural Raw Materials,Import Trade Value (US$ Thousand),2017,13119.30202,WITS - UNSD Comtrade
843,Annual,Cape Verde,Latin America and Caribbean,Food Products,Import Trade Value (US$ Thousand),2017,13092.2728351684,WITS - UNSD Comtrade
690,Annual,Rwanda,East Asia and Pacific,Footwear,Import Trade Value (US$ Thousand),2017,13072.90481653,WITS - UNSD Comtrade
2057,Annual,Mali,Senegal,Animal,Import Trade Value (US$ Thousand),2017,13065.1111279085,WITS - UNSD Comtrade
2137,Annual,Guyana,United States,Textiles,Import Trade Value (US$ Thousand),2017,13059.8412383539,WITS - UNSD Comtrade
1435,Annual,St. Vincent and the Grenadines,North America,Food Products,Import Trade Value (US$ Thousand),2017,13052.3966179607,WITS - UNSD Comtrade
1186,Annual,Malta,Italy,Ores and Metals,Import Trade Value (US$ Thousand),2017,13045.3174628802,WITS - UNSD Comtrade
392,Annual,"Iran, Islamic Rep.",China,Hides and Skins,Import Trade Value (US$ Thousand),2017,13037.321,WITS - UNSD Comtrade
725,Annual,Moldova,Europe and Central Asia,Minerals,Import Trade Value (US$ Thousand),2017,13026.474,WITS - UNSD Comtrade
1526,Annual,Burundi,Sub-Saharan Africa,Textiles,Import Trade Value (US$ Thousand),2017,13015.2751511452,WITS - UNSD Comtrade
1433,Annual,St. Vincent and the Grenadines,North America,Animal,Import Trade Value (US$ Thousand),2017,13010.7002226201,WITS - UNSD Comtrade
2500,Annual,Jamaica,World,Minerals,Import Trade Value (US$ Thousand),2017,13008.2704,WITS - UNSD Comtrade
1909,Annual,Maldives,Thailand,Textiles,Import Trade Value (US$ Thousand),2017,13004.2912352971,WITS - UNSD Comtrade
283,Annual,Belize,China,Footwear,Import Trade Value (US$ Thousand),2017,13003.76059,WITS - UNSD Comtrade
504,Annual,Sierra Leone,Europe and Central Asia,Animal,Import Trade Value (US$ Thousand),2017,13003.4165485828,WITS - UNSD Comtrade
1067,Annual,Pakistan,Europe and Central Asia,Hides and Skins,Import Trade Value (US$ Thousand),2017,12995.9958536638,WITS - UNSD Comtrade
839,Annual,Barbados,East Asia and Pacific,Textiles,Import Trade Value (US$ Thousand),2017,12995.9255,WITS - UNSD Comtrade
637,Annual,Bermuda,Europe and Central Asia,Transportation,Import Trade Value (US$ Thousand),2017,12989.61453,WITS - UNSD Comtrade
364,Annual,Central African Republic,Europe and Central Asia,Miscellaneous,Import Trade Value (US$ Thousand),2017,12987.7849392624,WITS - UNSD Comtrade
1769,Annual,Estonia,Latvia,Minerals,Import Trade Value (US$ Thousand),2017,12986.7339966405,WITS - UNSD Comtrade
2128,Annual,Niger,Togo,Minerals,Import Trade Value (US$ Thousand),2017,12974.3499,WITS - UNSD Comtrade
271,Annual,Solomon Islands,East Asia and Pacific,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,12957.3340320119,WITS - UNSD Comtrade
2391,Annual,"Congo, Dem. Rep.",Sub-Saharan Africa,Stone and Glass,Import Trade Value (US$ Thousand),2017,12956.6922692719,WITS - UNSD Comtrade
1199,Annual,Belize,North America,Fuel,Import Trade Value (US$ Thousand),2017,12932.66646,WITS - UNSD Comtrade
391,Annual,Brunei,China,Vegetable,Import Trade Value (US$ Thousand),2017,12924.5229511808,WITS - UNSD Comtrade
1734,Annual,Belize,United States,Fuel,Import Trade Value (US$ Thousand),2017,12916.405745,WITS - UNSD Comtrade
1118,Annual,St. Lucia,Latin America and Caribbean,Vegetable,Import Trade Value (US$ Thousand),2017,12914.6185446278,WITS - UNSD Comtrade
1513,Annual,Burundi,Sub-Saharan Africa,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,12913.0801536838,WITS - UNSD Comtrade
321,Annual,East Timor,Europe and Central Asia,Manufactures,Import Trade Value (US$ Thousand),2017,12903.2347,WITS - UNSD Comtrade
177,Annual,Bosnia and Herzegovina,Austria,Agricultural Raw Materials,Import Trade Value (US$ Thousand),2017,12898.69724,WITS - UNSD Comtrade
711,Annual,Seychelles,Europe and Central Asia,Chemicals,Import Trade Value (US$ Thousand),2017,12878.31074,WITS - UNSD Comtrade
