,Freq,Reporter,Partner,ProductCode,Indicator,Year,Value,DataSource
4977,Annual,World,World,All Products,Import Trade Value (US$ Thousand),2017,17620453934.43,WITS - UNSD Comtrade
1378,Annual,World,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,6602246713.89645,WITS - UNSD Comtrade
4981,Annual,World,World,Capital goods,Import Trade Value (US$ Thousand),2017,5843363423.084,WITS - UNSD Comtrade
1357,Annual,World,East Asia and Pacific,All Products,Import Trade Value (US$ Thousand),2017,5819563608.39991,WITS - UNSD Comtrade
4980,Annual,World,World,Consumer goods,Import Trade Value (US$ Thousand),2017,5399723676.17194,WITS - UNSD Comtrade
4974,Annual,World,World,Mach and Elec,Import Trade Value (US$ Thousand),2017,4813515925.58238,WITS - UNSD Comtrade
4979,Annual,World,World,Intermediate goods,Import Trade Value (US$ Thousand),2017,3710000979.73414,WITS - UNSD Comtrade
1361,Annual,World,East Asia and Pacific,Capital goods,Import Trade Value (US$ Thousand),2017,2734733102.83936,WITS - UNSD Comtrade
917,Annual,World,China,All Products,Import Trade Value (US$ Thousand),2017,2627888224.8833,WITS - UNSD Comtrade
1354,Annual,World,East Asia and Pacific,Mach and Elec,Import Trade Value (US$ Thousand),2017,2557599465.94601,WITS - UNSD Comtrade
1381,Annual,World,Europe and Central Asia,Consumer goods,Import Trade Value (US$ Thousand),2017,2430955490.66109,WITS - UNSD Comtrade
5406,Annual,United States,World,All Products,Import Trade Value (US$ Thousand),2017,2405276626.657,WITS - UNSD Comtrade
4978,Annual,World,World,Raw materials,Import Trade Value (US$ Thousand),2017,2265378470.214,WITS - UNSD Comtrade
5533,Annual,European Union,World,All Products,Import Trade Value (US$ Thousand),2017,2090461545.33432,WITS - UNSD Comtrade
4965,Annual,World,World,Fuels,Import Trade Value (US$ Thousand),2017,2000486588.76203,WITS - UNSD Comtrade
3211,Annual,World,North America,All Products,Import Trade Value (US$ Thousand),2017,1910575096.16401,WITS - UNSD Comtrade
5403,Annual,United States,World,Manufactures,Import Trade Value (US$ Thousand),2017,1874163160.85,WITS - UNSD Comtrade
4892,Annual,China,World,All Products,Import Trade Value (US$ Thousand),2017,1843792938.795,WITS - UNSD Comtrade
1382,Annual,World,Europe and Central Asia,Capital goods,Import Trade Value (US$ Thousand),2017,1797255360.4002,WITS - UNSD Comtrade
4975,Annual,World,World,Transportation,Import Trade Value (US$ Thousand),2017,1779008606.27764,WITS - UNSD Comtrade
4966,Annual,World,World,Chemicals,Import Trade Value (US$ Thousand),2017,1684719857.35337,WITS - UNSD Comtrade
1360,Annual,World,East Asia and Pacific,Consumer goods,Import Trade Value (US$ Thousand),2017,1658452875.02634,WITS - UNSD Comtrade
1380,Annual,World,Europe and Central Asia,Intermediate goods,Import Trade Value (US$ Thousand),2017,1591373138.23244,WITS - UNSD Comtrade
914,Annual,World,China,Mach and Elec,Import Trade Value (US$ Thousand),2017,1392522762.8504,WITS - UNSD Comtrade
921,Annual,World,China,Capital goods,Import Trade Value (US$ Thousand),2017,1384484943.39255,WITS - UNSD Comtrade
5530,Annual,European Union,World,Manufactures,Import Trade Value (US$ Thousand),2017,1383660161.40932,WITS - UNSD Comtrade
4976,Annual,World,World,Miscellaneous,Import Trade Value (US$ Thousand),2017,1372193910.6116,WITS - UNSD Comtrade
1375,Annual,World,Europe and Central Asia,Mach and Elec,Import Trade Value (US$ Thousand),2017,1293876924.00126,WITS - UNSD Comtrade
4973,Annual,World,World,Metals,Import Trade Value (US$ Thousand),2017,1189783759.41107,WITS - UNSD Comtrade
4902,Annual,Germany,World,All Products,Import Trade Value (US$ Thousand),2017,1167753355.16198,WITS - UNSD Comtrade
4889,Annual,China,World,Manufactures,Import Trade Value (US$ Thousand),2017,1159223164.81,WITS - UNSD Comtrade
5407,Annual,United States,World,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,1061446067.532,WITS - UNSD Comtrade
1359,Annual,World,East Asia and Pacific,Intermediate goods,Import Trade Value (US$ Thousand),2017,990850005.602757,WITS - UNSD Comtrade
1367,Annual,World,Europe and Central Asia,Chemicals,Import Trade Value (US$ Thousand),2017,963159508.923886,WITS - UNSD Comtrade
1428,Annual,United States,East Asia and Pacific,All Products,Import Trade Value (US$ Thousand),2017,936782350.191,WITS - UNSD Comtrade
1376,Annual,World,Europe and Central Asia,Transportation,Import Trade Value (US$ Thousand),2017,897835304.807042,WITS - UNSD Comtrade
5410,Annual,United States,World,Consumer goods,Import Trade Value (US$ Thousand),2017,885215064.481001,WITS - UNSD Comtrade
1425,Annual,United States,East Asia and Pacific,Manufactures,Import Trade Value (US$ Thousand),2017,868379391.769,WITS - UNSD Comtrade
4899,Annual,Germany,World,Manufactures,Import Trade Value (US$ Thousand),2017,862991417.275426,WITS - UNSD Comtrade
5411,Annual,United States,World,Capital goods,Import Trade Value (US$ Thousand),2017,835944760.937,WITS - UNSD Comtrade
1188,Annual,China,East Asia and Pacific,All Products,Import Trade Value (US$ Thousand),2017,833876924.888,WITS - UNSD Comtrade
920,Annual,World,China,Consumer goods,Import Trade Value (US$ Thousand),2017,831467440.810101,WITS - UNSD Comtrade
4972,Annual,World,World,Stone and Glass,Import Trade Value (US$ Thousand),2017,806491104.465362,WITS - UNSD Comtrade
4967,Annual,World,World,Plastic or Rubber,Import Trade Value (US$ Thousand),2017,796063932.613425,WITS - UNSD Comtrade
1279,Annual,Germany,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,769336752.543821,WITS - UNSD Comtrade
4897,Annual,China,World,Capital goods,Import Trade Value (US$ Thousand),2017,749094645.421001,WITS - UNSD Comtrade
1514,Annual,European Union,East Asia and Pacific,All Products,Import Trade Value (US$ Thousand),2017,739661964.718761,WITS - UNSD Comtrade
4893,Annual,China,World,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,739419616.286,WITS - UNSD Comtrade
5396,Annual,United States,World,Mach and Elec,Import Trade Value (US$ Thousand),2017,700766968.089,WITS - UNSD Comtrade
5534,Annual,European Union,World,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,685318493.119021,WITS - UNSD Comtrade
4970,Annual,World,World,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,677224125.582862,WITS - UNSD Comtrade
1511,Annual,European Union,East Asia and Pacific,Manufactures,Import Trade Value (US$ Thousand),2017,676819187.119357,WITS - UNSD Comtrade
4200,Annual,Japan,World,All Products,Import Trade Value (US$ Thousand),2017,671474306.095753,WITS - UNSD Comtrade
3215,Annual,World,North America,Capital goods,Import Trade Value (US$ Thousand),2017,647511727.342921,WITS - UNSD Comtrade
4962,Annual,World,World,Vegetable,Import Trade Value (US$ Thousand),2017,644192132.083667,WITS - UNSD Comtrade
5537,Annual,European Union,World,Consumer goods,Import Trade Value (US$ Thousand),2017,641349545.378531,WITS - UNSD Comtrade
4899,Annual,United Kingdom,World,All Products,Import Trade Value (US$ Thousand),2017,640907688.60323,WITS - UNSD Comtrade
4882,Annual,China,World,Mach and Elec,Import Trade Value (US$ Thousand),2017,621001998.4,WITS - UNSD Comtrade
1185,Annual,China,East Asia and Pacific,Manufactures,Import Trade Value (US$ Thousand),2017,613466255.228,WITS - UNSD Comtrade
5795,Annual,France,World,All Products,Import Trade Value (US$ Thousand),2017,613132639.717873,WITS - UNSD Comtrade
5538,Annual,European Union,World,Capital goods,Import Trade Value (US$ Thousand),2017,608340638.43777,WITS - UNSD Comtrade
1379,Annual,World,Europe and Central Asia,Raw materials,Import Trade Value (US$ Thousand),2017,606593958.38069,WITS - UNSD Comtrade
1366,Annual,World,Europe and Central Asia,Fuels,Import Trade Value (US$ Thousand),2017,595648923.660169,WITS - UNSD Comtrade
3861,Annual,"Hong Kong, China",World,All Products,Import Trade Value (US$ Thousand),2017,589317440.320895,WITS - UNSD Comtrade
4963,Annual,World,World,Food Products,Import Trade Value (US$ Thousand),2017,566749710.080603,WITS - UNSD Comtrade
2865,Annual,World,Middle East and North Africa,Fuels,Import Trade Value (US$ Thousand),2017,564921888.914584,WITS - UNSD Comtrade
1276,Annual,Germany,Europe and Central Asia,Manufactures,Import Trade Value (US$ Thousand),2017,552398022.471642,WITS - UNSD Comtrade
1374,Annual,World,Europe and Central Asia,Metals,Import Trade Value (US$ Thousand),2017,537675544.361775,WITS - UNSD Comtrade
1429,Annual,United States,East Asia and Pacific,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,532742121.605,WITS - UNSD Comtrade
926,Annual,United States,China,All Products,Import Trade Value (US$ Thousand),2017,525764714.47,WITS - UNSD Comtrade
1457,Annual,United States,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,518022272.504,WITS - UNSD Comtrade
3214,Annual,World,North America,Consumer goods,Import Trade Value (US$ Thousand),2017,517722897.045804,WITS - UNSD Comtrade
5523,Annual,European Union,World,Mach and Elec,Import Trade Value (US$ Thousand),2017,510780607.271182,WITS - UNSD Comtrade
3858,Annual,"Hong Kong, China",World,Manufactures,Import Trade Value (US$ Thousand),2017,510664625.043062,WITS - UNSD Comtrade
1543,Annual,European Union,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,509565644.569987,WITS - UNSD Comtrade
1356,Annual,World,East Asia and Pacific,Miscellaneous,Import Trade Value (US$ Thousand),2017,508818526.622589,WITS - UNSD Comtrade
923,Annual,United States,China,Manufactures,Import Trade Value (US$ Thousand),2017,507107052.057,WITS - UNSD Comtrade
1377,Annual,World,Europe and Central Asia,Miscellaneous,Import Trade Value (US$ Thousand),2017,503116340.115158,WITS - UNSD Comtrade
2878,Annual,World,Middle East and North Africa,Raw materials,Import Trade Value (US$ Thousand),2017,485545215.814514,WITS - UNSD Comtrade
5117,Annual,"Korea, Rep.",World,All Products,Import Trade Value (US$ Thousand),2017,478469167.573,WITS - UNSD Comtrade
5792,Annual,France,World,Manufactures,Import Trade Value (US$ Thousand),2017,471695468.948809,WITS - UNSD Comtrade
5027,Annual,Netherlands,World,All Products,Import Trade Value (US$ Thousand),2017,461902678.720284,WITS - UNSD Comtrade
4896,Annual,United Kingdom,World,Manufactures,Import Trade Value (US$ Thousand),2017,454388335.6769,WITS - UNSD Comtrade
4496,Annual,Italy,World,All Products,Import Trade Value (US$ Thousand),2017,453583034.460286,WITS - UNSD Comtrade
4488,Annual,India,World,All Products,Import Trade Value (US$ Thousand),2017,444052353.836283,WITS - UNSD Comtrade
4894,Annual,China,World,Raw materials,Import Trade Value (US$ Thousand),2017,443962962.154,WITS - UNSD Comtrade
1193,Annual,China,East Asia and Pacific,Capital goods,Import Trade Value (US$ Thousand),2017,441038467.996,WITS - UNSD Comtrade
4903,Annual,Germany,World,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,437186421.783561,WITS - UNSD Comtrade
2888,Annual,United States,Latin America and Caribbean,All Products,Import Trade Value (US$ Thousand),2017,436709653.083,WITS - UNSD Comtrade
5639,Annual,Canada,World,All Products,Import Trade Value (US$ Thousand),2017,433045052.733088,WITS - UNSD Comtrade
3213,Annual,World,North America,Intermediate goods,Import Trade Value (US$ Thousand),2017,430813149.017847,WITS - UNSD Comtrade
935,Annual,"Hong Kong, China",East Asia and Pacific,All Products,Import Trade Value (US$ Thousand),2017,427654698.203036,WITS - UNSD Comtrade
1433,Annual,United States,East Asia and Pacific,Capital goods,Import Trade Value (US$ Thousand),2017,424760464.693,WITS - UNSD Comtrade
1055,Annual,European Union,China,All Products,Import Trade Value (US$ Thousand),2017,422718741.838984,WITS - UNSD Comtrade
1189,Annual,China,East Asia and Pacific,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,420522575.646,WITS - UNSD Comtrade
3196,Annual,Mexico,World,All Products,Import Trade Value (US$ Thousand),2017,420394594.048,WITS - UNSD Comtrade
1454,Annual,United States,Europe and Central Asia,Manufactures,Import Trade Value (US$ Thousand),2017,417426678.606,WITS - UNSD Comtrade
1418,Annual,United States,East Asia and Pacific,Mach and Elec,Import Trade Value (US$ Thousand),2017,414651878.886,WITS - UNSD Comtrade
3208,Annual,World,North America,Mach and Elec,Import Trade Value (US$ Thousand),2017,413832672.249462,WITS - UNSD Comtrade
4969,Annual,World,World,Wood,Import Trade Value (US$ Thousand),2017,412287287.976253,WITS - UNSD Comtrade
1626,Annual,France,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,409747113.831929,WITS - UNSD Comtrade
1052,Annual,European Union,China,Manufactures,Import Trade Value (US$ Thousand),2017,409538514.869835,WITS - UNSD Comtrade
5536,Annual,European Union,World,Intermediate goods,Import Trade Value (US$ Thousand),2017,409056875.114506,WITS - UNSD Comtrade
4791,Annual,Belgium,World,All Products,Import Trade Value (US$ Thousand),2017,409024843.777361,WITS - UNSD Comtrade
4197,Annual,Japan,World,Manufactures,Import Trade Value (US$ Thousand),2017,397597068.721387,WITS - UNSD Comtrade
4895,Annual,China,World,Intermediate goods,Import Trade Value (US$ Thousand),2017,396325958.495999,WITS - UNSD Comtrade
1314,Annual,United Kingdom,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,395316216.05547,WITS - UNSD Comtrade
1178,Annual,China,East Asia and Pacific,Mach and Elec,Import Trade Value (US$ Thousand),2017,394351849.813,WITS - UNSD Comtrade
1515,Annual,European Union,East Asia and Pacific,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,394239692.672175,WITS - UNSD Comtrade
4906,Annual,Germany,World,Consumer goods,Import Trade Value (US$ Thousand),2017,390421791.218355,WITS - UNSD Comtrade
1432,Annual,United States,East Asia and Pacific,Consumer goods,Import Trade Value (US$ Thousand),2017,389454754.323,WITS - UNSD Comtrade
1355,Annual,World,East Asia and Pacific,Transportation,Import Trade Value (US$ Thousand),2017,387622826.410294,WITS - UNSD Comtrade
932,Annual,"Hong Kong, China",East Asia and Pacific,Manufactures,Import Trade Value (US$ Thousand),2017,384532869.737835,WITS - UNSD Comtrade
5535,Annual,European Union,World,Raw materials,Import Trade Value (US$ Thousand),2017,377246158.263307,WITS - UNSD Comtrade
5514,Annual,European Union,World,Fuels,Import Trade Value (US$ Thousand),2017,377107816.848802,WITS - UNSD Comtrade
3862,Annual,"Hong Kong, China",World,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,375106848.240976,WITS - UNSD Comtrade
3866,Annual,"Hong Kong, China",World,Capital goods,Import Trade Value (US$ Thousand),2017,368776719.011393,WITS - UNSD Comtrade
1358,Annual,World,East Asia and Pacific,Raw materials,Import Trade Value (US$ Thousand),2017,367001951.504831,WITS - UNSD Comtrade
3851,Annual,"Hong Kong, China",World,Mach and Elec,Import Trade Value (US$ Thousand),2017,365930509.864688,WITS - UNSD Comtrade
4907,Annual,Germany,World,Capital goods,Import Trade Value (US$ Thousand),2017,361193165.114075,WITS - UNSD Comtrade
1353,Annual,World,East Asia and Pacific,Metals,Import Trade Value (US$ Thousand),2017,358250150.502112,WITS - UNSD Comtrade
5409,Annual,United States,World,Intermediate goods,Import Trade Value (US$ Thousand),2017,356603459.15,WITS - UNSD Comtrade
5529,Annual,European Union,World,Fuel,Import Trade Value (US$ Thousand),2017,353436694.917475,WITS - UNSD Comtrade
919,Annual,World,China,Intermediate goods,Import Trade Value (US$ Thousand),2017,352201610.100929,WITS - UNSD Comtrade
1519,Annual,European Union,East Asia and Pacific,Capital goods,Import Trade Value (US$ Thousand),2017,349871322.983712,WITS - UNSD Comtrade
1217,Annual,China,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,345250049.717,WITS - UNSD Comtrade
1044,Annual,Japan,East Asia and Pacific,All Products,Import Trade Value (US$ Thousand),2017,341578263.166882,WITS - UNSD Comtrade
5224,Annual,Spain,World,All Products,Import Trade Value (US$ Thousand),2017,341421161.050053,WITS - UNSD Comtrade
4961,Annual,World,World,Animal,Import Trade Value (US$ Thousand),2017,336552220.347097,WITS - UNSD Comtrade
5636,Annual,Canada,World,Manufactures,Import Trade Value (US$ Thousand),2017,335198192.226427,WITS - UNSD Comtrade
1504,Annual,European Union,East Asia and Pacific,Mach and Elec,Import Trade Value (US$ Thousand),2017,330712920.650423,WITS - UNSD Comtrade
1368,Annual,World,Europe and Central Asia,Plastic or Rubber,Import Trade Value (US$ Thousand),2017,330697633.586485,WITS - UNSD Comtrade
2647,Annual,World,Latin America and Caribbean,Raw materials,Import Trade Value (US$ Thousand),2017,329612240.372097,WITS - UNSD Comtrade
5397,Annual,United States,World,Transportation,Import Trade Value (US$ Thousand),2017,329451465.864,WITS - UNSD Comtrade
4783,Annual,Singapore,World,All Products,Import Trade Value (US$ Thousand),2017,327709713.161243,WITS - UNSD Comtrade
3193,Annual,Mexico,World,Manufactures,Import Trade Value (US$ Thousand),2017,324590095.429,WITS - UNSD Comtrade
3498,Annual,European Union,North America,All Products,Import Trade Value (US$ Thousand),2017,323679549.37689,WITS - UNSD Comtrade
1196,Annual,Italy,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,323461466.71989,WITS - UNSD Comtrade
1346,Annual,World,East Asia and Pacific,Chemicals,Import Trade Value (US$ Thousand),2017,320228368.241988,WITS - UNSD Comtrade
1350,Annual,World,East Asia and Pacific,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,319442573.469148,WITS - UNSD Comtrade
4493,Annual,Italy,World,Manufactures,Import Trade Value (US$ Thousand),2017,313483755.152822,WITS - UNSD Comtrade
1623,Annual,France,Europe and Central Asia,Manufactures,Import Trade Value (US$ Thousand),2017,312727031.7008,WITS - UNSD Comtrade
1345,Annual,World,East Asia and Pacific,Fuels,Import Trade Value (US$ Thousand),2017,311034677.524146,WITS - UNSD Comtrade
936,Annual,"Hong Kong, China",East Asia and Pacific,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,308855293.856661,WITS - UNSD Comtrade
5398,Annual,United States,World,Miscellaneous,Import Trade Value (US$ Thousand),2017,305144851.424,WITS - UNSD Comtrade
925,Annual,"Hong Kong, China",East Asia and Pacific,Mach and Elec,Import Trade Value (US$ Thousand),2017,303939314.57956,WITS - UNSD Comtrade
5024,Annual,Netherlands,World,Manufactures,Import Trade Value (US$ Thousand),2017,302940119.770091,WITS - UNSD Comtrade
940,Annual,"Hong Kong, China",East Asia and Pacific,Capital goods,Import Trade Value (US$ Thousand),2017,302310612.890648,WITS - UNSD Comtrade
2885,Annual,United States,Latin America and Caribbean,Manufactures,Import Trade Value (US$ Thousand),2017,301497854.076,WITS - UNSD Comtrade
5114,Annual,"Korea, Rep.",World,Manufactures,Import Trade Value (US$ Thousand),2017,299089421.544,WITS - UNSD Comtrade
1229,Annual,World,Germany,Transportation,Import Trade Value (US$ Thousand),2017,298169263.586576,WITS - UNSD Comtrade
1364,Annual,World,Europe and Central Asia,Food Products,Import Trade Value (US$ Thousand),2017,296791290.895762,WITS - UNSD Comtrade
4788,Annual,Belgium,World,Manufactures,Import Trade Value (US$ Thousand),2017,296564960.415303,WITS - UNSD Comtrade
927,Annual,United States,China,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,293698961.821,WITS - UNSD Comtrade
1373,Annual,World,Europe and Central Asia,Stone and Glass,Import Trade Value (US$ Thousand),2017,292841411.011229,WITS - UNSD Comtrade
1269,Annual,Belgium,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,291512557.388152,WITS - UNSD Comtrade
3209,Annual,World,North America,Transportation,Import Trade Value (US$ Thousand),2017,291076360.031054,WITS - UNSD Comtrade
1388,Annual,Netherlands,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,288365412.482005,WITS - UNSD Comtrade
1311,Annual,United Kingdom,Europe and Central Asia,Manufactures,Import Trade Value (US$ Thousand),2017,287692858.021872,WITS - UNSD Comtrade
4892,Annual,Germany,World,Mach and Elec,Import Trade Value (US$ Thousand),2017,287131623.720543,WITS - UNSD Comtrade
4964,Annual,World,World,Minerals,Import Trade Value (US$ Thousand),2017,286379475.231299,WITS - UNSD Comtrade
916,Annual,World,China,Miscellaneous,Import Trade Value (US$ Thousand),2017,282815619.722932,WITS - UNSD Comtrade
4526,Annual,Switzerland,World,All Products,Import Trade Value (US$ Thousand),2017,267501495.87583,WITS - UNSD Comtrade
1280,Annual,Germany,Europe and Central Asia,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,264420544.179345,WITS - UNSD Comtrade
622,Annual,"Hong Kong, China",China,All Products,Import Trade Value (US$ Thousand),2017,262582642.858795,WITS - UNSD Comtrade
1347,Annual,World,East Asia and Pacific,Plastic or Rubber,Import Trade Value (US$ Thousand),2017,262152867.015488,WITS - UNSD Comtrade
916,Annual,United States,China,Mach and Elec,Import Trade Value (US$ Thousand),2017,261820918.281,WITS - UNSD Comtrade
4153,Annual,Russian Federation,World,All Products,Import Trade Value (US$ Thousand),2017,259966680.2802,WITS - UNSD Comtrade
1518,Annual,European Union,East Asia and Pacific,Consumer goods,Import Trade Value (US$ Thousand),2017,259808657.167345,WITS - UNSD Comtrade
4903,Annual,United Kingdom,World,Consumer goods,Import Trade Value (US$ Thousand),2017,258835938.255052,WITS - UNSD Comtrade
4557,Annual,United Arab Emirates,World,All Products,Import Trade Value (US$ Thousand),2017,257686922.234359,WITS - UNSD Comtrade
3495,Annual,European Union,North America,Manufactures,Import Trade Value (US$ Thousand),2017,254409330.039904,WITS - UNSD Comtrade
931,Annual,United States,China,Capital goods,Import Trade Value (US$ Thousand),2017,251887417.757,WITS - UNSD Comtrade
4888,Annual,China,World,Fuel,Import Trade Value (US$ Thousand),2017,250848630.333,WITS - UNSD Comtrade
4873,Annual,China,World,Fuels,Import Trade Value (US$ Thousand),2017,249624522.202,WITS - UNSD Comtrade
5799,Annual,France,World,Consumer goods,Import Trade Value (US$ Thousand),2017,247537187.867963,WITS - UNSD Comtrade
1283,Annual,Germany,Europe and Central Asia,Consumer goods,Import Trade Value (US$ Thousand),2017,247400441.333584,WITS - UNSD Comtrade
619,Annual,"Hong Kong, China",China,Manufactures,Import Trade Value (US$ Thousand),2017,246446834.461437,WITS - UNSD Comtrade
4905,Annual,Germany,World,Intermediate goods,Import Trade Value (US$ Thousand),2017,240405761.454012,WITS - UNSD Comtrade
5319,Annual,European Union,United States,Manufactures,Import Trade Value (US$ Thousand),2017,239947665.450279,WITS - UNSD Comtrade
4896,Annual,China,World,Consumer goods,Import Trade Value (US$ Thousand),2017,239091231.597,WITS - UNSD Comtrade
1041,Annual,Japan,East Asia and Pacific,Manufactures,Import Trade Value (US$ Thousand),2017,237846427.513412,WITS - UNSD Comtrade
5221,Annual,Spain,World,Manufactures,Import Trade Value (US$ Thousand),2017,237599486.676176,WITS - UNSD Comtrade
4900,Annual,United Kingdom,World,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,235597302.50967,WITS - UNSD Comtrade
1193,Annual,Italy,Europe and Central Asia,Manufactures,Import Trade Value (US$ Thousand),2017,235331387.214287,WITS - UNSD Comtrade
4346,Annual,Turkey,World,All Products,Import Trade Value (US$ Thousand),2017,233799651.234,WITS - UNSD Comtrade
5796,Annual,France,World,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,232334840.398874,WITS - UNSD Comtrade
1056,Annual,European Union,China,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,231042664.089296,WITS - UNSD Comtrade
1327,Annual,"Korea, Rep.",East Asia and Pacific,All Products,Import Trade Value (US$ Thousand),2017,229625788.665,WITS - UNSD Comtrade
4394,Annual,Australia,World,All Products,Import Trade Value (US$ Thousand),2017,228785255.033613,WITS - UNSD Comtrade
5408,Annual,United States,World,Raw materials,Import Trade Value (US$ Thousand),2017,227562196.759,WITS - UNSD Comtrade
930,Annual,United States,China,Consumer goods,Import Trade Value (US$ Thousand),2017,226469653.356,WITS - UNSD Comtrade
1214,Annual,China,Europe and Central Asia,Manufactures,Import Trade Value (US$ Thousand),2017,226266551.164,WITS - UNSD Comtrade
3727,Annual,Canada,North America,All Products,Import Trade Value (US$ Thousand),2017,225681526.990646,WITS - UNSD Comtrade
4485,Annual,India,World,Manufactures,Import Trade Value (US$ Thousand),2017,223302993.881973,WITS - UNSD Comtrade
5466,Annual,Canada,United States,All Products,Import Trade Value (US$ Thousand),2017,222572824.420717,WITS - UNSD Comtrade
5400,Annual,United States,World,Chemical,Import Trade Value (US$ Thousand),2017,221897814.056,WITS - UNSD Comtrade
4204,Annual,Japan,World,Consumer goods,Import Trade Value (US$ Thousand),2017,221841875.025524,WITS - UNSD Comtrade
4942,Annual,Thailand,World,All Products,Import Trade Value (US$ Thousand),2017,221514052.36561,WITS - UNSD Comtrade
4150,Annual,Russian Federation,World,Manufactures,Import Trade Value (US$ Thousand),2017,219328259.12532,WITS - UNSD Comtrade
4780,Annual,Singapore,World,Manufactures,Import Trade Value (US$ Thousand),2017,219106531.3109,WITS - UNSD Comtrade
3200,Annual,World,North America,Chemicals,Import Trade Value (US$ Thousand),2017,219084641.814882,WITS - UNSD Comtrade
4800,Annual,Poland,World,All Products,Import Trade Value (US$ Thousand),2017,217978575.741,WITS - UNSD Comtrade
3199,Annual,World,North America,Fuels,Import Trade Value (US$ Thousand),2017,217649837.524876,WITS - UNSD Comtrade
5527,Annual,European Union,World,Chemical,Import Trade Value (US$ Thousand),2017,215530517.210561,WITS - UNSD Comtrade
3226,Annual,Vietnam,World,All Products,Import Trade Value (US$ Thousand),2017,213215299.1393,WITS - UNSD Comtrade
2889,Annual,United States,Latin America and Caribbean,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,212359330.14,WITS - UNSD Comtrade
910,Annual,World,China,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,211755948.114693,WITS - UNSD Comtrade
1045,Annual,European Union,China,Mach and Elec,Import Trade Value (US$ Thousand),2017,211070923.812088,WITS - UNSD Comtrade
1250,Annual,Germany,East Asia and Pacific,All Products,Import Trade Value (US$ Thousand),2017,208176791.618862,WITS - UNSD Comtrade
1284,Annual,Germany,Europe and Central Asia,Capital goods,Import Trade Value (US$ Thousand),2017,207750507.900904,WITS - UNSD Comtrade
1437,Annual,Spain,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,207439855.248218,WITS - UNSD Comtrade
1060,Annual,European Union,China,Capital goods,Import Trade Value (US$ Thousand),2017,206130906.12825,WITS - UNSD Comtrade
2035,Annual,Mexico,North America,All Products,Import Trade Value (US$ Thousand),2017,204744804.496,WITS - UNSD Comtrade
5402,Annual,United States,World,Fuel,Import Trade Value (US$ Thousand),2017,204085129.65,WITS - UNSD Comtrade
5387,Annual,United States,World,Fuels,Import Trade Value (US$ Thousand),2017,204019056.862,WITS - UNSD Comtrade
1370,Annual,World,Europe and Central Asia,Wood,Import Trade Value (US$ Thousand),2017,203706920.524524,WITS - UNSD Comtrade
3200,Annual,United States,Mexico,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,203066725.53,WITS - UNSD Comtrade
1266,Annual,Belgium,Europe and Central Asia,Manufactures,Import Trade Value (US$ Thousand),2017,201904549.946947,WITS - UNSD Comtrade
1461,Annual,United States,Europe and Central Asia,Consumer goods,Import Trade Value (US$ Thousand),2017,199870592.207,WITS - UNSD Comtrade
5388,Annual,United States,World,Chemicals,Import Trade Value (US$ Thousand),2017,199687863.307,WITS - UNSD Comtrade
1352,Annual,World,East Asia and Pacific,Stone and Glass,Import Trade Value (US$ Thousand),2017,198236022.453655,WITS - UNSD Comtrade
1363,Annual,World,Europe and Central Asia,Vegetable,Import Trade Value (US$ Thousand),2017,197572077.494328,WITS - UNSD Comtrade
4201,Annual,Japan,World,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,196327024.350501,WITS - UNSD Comtrade
3197,Annual,Mexico,World,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,195695673.003,WITS - UNSD Comtrade
