ReporterEconomyCode,PartnerEconomyCode,Year,Value,r_lat,r_long,Reporter,p_lat,p_long,Partner,ProductOrSectorCode
144,554,2017,6136937.0,7.873054,80.771797,Sri Lanka,-40.900557,174.885971,New Zealand,01
156,554,2017,75880589.0,35.86166,104.195397,China,-40.900557,174.885971,New Zealand,01
344,554,2017,33779995.0,22.396428,114.109497,"Hong Kong, China",-40.900557,174.885971,New Zealand,01
360,554,2017,802329.0,-0.789275,113.921327,Indonesia,-40.900557,174.885971,New Zealand,01
462,554,2017,24021.0,3.202778,73.22068,Maldives,-40.900557,174.885971,New Zealand,01
600,554,2017,47230.0,-23.442503,-58.443832,Paraguay,-40.900557,174.885971,New Zealand,01
702,554,2017,3391734.0,1.352083,103.819836,Singapore,-40.900557,174.885971,New Zealand,01
36,826,2017,25307637.0,-25.274398,133.775136,Australia,55.378051,-3.435973,United Kingdom,01
288,826,2017,197993.0,7.946527,-1.023194,Ghana,55.378051,-3.435973,United Kingdom,01
344,826,2017,38964934.0,22.396428,114.109497,"Hong Kong, China",55.378051,-3.435973,United Kingdom,01
356,826,2017,2865526.0,20.593684,78.96288,India,55.378051,-3.435973,United Kingdom,01
392,826,2017,39629053.0,36.204824,138.252924,Japan,55.378051,-3.435973,United Kingdom,01
458,826,2017,4560110.0,4.210484,101.975766,Malaysia,55.378051,-3.435973,United Kingdom,01
480,826,2017,383726.0,-20.348404,57.552152,Mauritius,55.378051,-3.435973,United Kingdom,01
554,826,2017,1458054.0,-40.900557,174.885971,New Zealand,55.378051,-3.435973,United Kingdom,01
566,826,2017,49781.0,9.081999,8.675277,Nigeria,55.378051,-3.435973,United Kingdom,01
578,826,2017,2575956.0,60.472024,8.468946,Norway,55.378051,-3.435973,United Kingdom,01
586,826,2017,5018706.0,30.375321,69.345116,Pakistan,55.378051,-3.435973,United Kingdom,01
710,826,2017,6674299.0,-30.559482,22.937506,South Africa,55.378051,-3.435973,United Kingdom,01
36,392,2017,6701197.0,-25.274398,133.775136,Australia,36.204824,138.252924,Japan,01
36,528,2017,3338482.0,-25.274398,133.775136,Australia,52.132633,5.291266,Netherlands,01
124,528,2017,13437217.0,56.130366,-106.346771,Canada,52.132633,5.291266,Netherlands,01
204,528,2017,74989.0,9.30769,2.315834,Benin,52.132633,5.291266,Netherlands,01
268,528,2017,1445009.0,42.315407,43.356892,Georgia,52.132633,5.291266,Netherlands,01
288,528,2017,7116423.0,7.946527,-1.023194,Ghana,52.132633,5.291266,Netherlands,01
324,528,2017,301.0,9.945587,-9.696645,Guinea,52.132633,5.291266,Netherlands,01
360,528,2017,1450570.0,-0.789275,113.921327,Indonesia,52.132633,5.291266,Netherlands,01
384,528,2017,1523371.0,7.539989,-5.54708,Cote d'Ivoire,52.132633,5.291266,Netherlands,01
398,528,2017,3629987.0,48.019573,66.923684,Kazakhstan,52.132633,5.291266,Netherlands,01
410,528,2017,14715259.0,40.339852,127.510093,"Korea, Rep.",52.132633,5.291266,Netherlands,01
446,528,2017,21787.0,22.198745,113.543873,Macao,52.132633,5.291266,Netherlands,01
466,528,2017,857920.0,17.570692,-3.996166,Mali,52.132633,5.291266,Netherlands,01
484,528,2017,6636375.0,23.634501,-102.552784,Mexico,52.132633,5.291266,Netherlands,01
504,528,2017,4834150.0,31.791702,-7.09262,Morocco,52.132633,5.291266,Netherlands,01
516,528,2017,779844.0,-22.95764,18.49041,Namibia,52.132633,5.291266,Netherlands,01
586,528,2017,3430675.0,30.375321,69.345116,Pakistan,52.132633,5.291266,Netherlands,01
608,528,2017,1859254.0,12.879721,121.774017,Philippines,52.132633,5.291266,Netherlands,01
686,528,2017,431362.0,14.497401,-14.452362,Senegal,52.132633,5.291266,Netherlands,01
756,528,2017,8350432.0,46.818188,8.227512,Switzerland,52.132633,5.291266,Netherlands,01
764,528,2017,9956418.0,15.870032,100.992541,Thailand,52.132633,5.291266,Netherlands,01
768,528,2017,70697.0,8.619543,0.824782,Togo,52.132633,5.291266,Netherlands,01
800,528,2017,1702336.0,1.373333,32.290275,Uganda,52.132633,5.291266,Netherlands,01
840,528,2017,92346056.0,37.09024,-95.712891,United States,52.132633,5.291266,Netherlands,01
854,528,2017,42111.0,12.238333,-1.561593,Burkina Faso,52.132633,5.291266,Netherlands,01
68,604,2017,516261.0,-16.290154,-63.588653,Bolivia,-9.189967,-75.015152,Peru,01
